,time_open,price_open,price_high,price_low,price_close,volume_traded,trades_count,week
0,2020-01-01 00:00:00+00:00,7195.24,7196.25,7175.46,7177.02,511.814901,7640,1
1,2020-01-01 01:00:00+00:00,7176.47,7230.0,7175.71,7216.27,883.052603,9033,1
2,2020-01-01 02:00:00+00:00,7215.52,7244.87,7211.41,7242.85,655.156809,7466,1
3,2020-01-01 03:00:00+00:00,7242.66,7245.0,7220.0,7225.01,783.724867,8337,1
4,2020-01-01 04:00:00+00:00,7225.0,7230.0,7215.03,7217.27,467.812578,5896,1
5,2020-01-01 05:00:00+00:00,7217.26,7229.76,7216.65,7224.21,344.670596,6529,1
6,2020-01-01 06:00:00+00:00,7224.24,7236.27,7221.51,7225.62,621.467023,9718,1
7,2020-01-01 07:00:00+00:00,7225.88,7232.94,7199.11,7209.83,627.344854,7848,1
8,2020-01-01 08:00:00+00:00,7209.83,7210.0,7180.0,7200.64,915.545974,8847,1
9,2020-01-01 09:00:00+00:00,7200.29,7210.51,7188.0,7188.77,636.386102,7177,1
10,2020-01-01 10:00:00+00:00,7189.07,7210.0,7185.2,7202.0,537.762804,6417,1
11,2020-01-01 11:00:00+00:00,7202.01,7237.73,7188.61,7197.2,1076.959481,11066,1
12,2020-01-01 12:00:00+00:00,7197.2,7233.33,7196.15,7225.59,868.75358,9402,1
13,2020-01-01 13:00:00+00:00,7225.84,7231.89,7212.88,7221.2,612.180902,7240,1
14,2020-01-01 14:00:00+00:00,7221.17,7234.97,7208.17,7221.43,617.714185,8130,1
15,2020-01-01 15:00:00+00:00,7221.6,7255.0,7218.29,7234.19,1393.888792,11777,1
16,2020-01-01 16:00:00+00:00,7234.2,7246.42,7214.0,7245.37,881.93278,9499,1
17,2020-01-01 17:00:00+00:00,7244.34,7249.99,7224.92,7236.83,1069.210567,9809,1
18,2020-01-01 18:00:00+00:00,7237.02,7246.72,7225.17,7240.67,611.693307,7712,1
19,2020-01-01 19:00:00+00:00,7240.8,7241.0,7225.49,7229.48,417.746637,5857,1
20,2020-01-01 20:00:00+00:00,7229.48,7242.98,7224.68,7236.73,391.834174,5465,1
21,2020-01-01 21:00:00+00:00,7237.26,7242.75,7227.0,7233.17,285.454078,5114,1
22,2020-01-01 22:00:00+00:00,7233.32,7234.49,7186.0,7197.99,769.030411,10399,1
23,2020-01-01 23:00:00+00:00,7197.62,7204.17,7175.15,7200.85,811.25016,7632,1
24,2020-01-02 00:00:00+00:00,7200.77,7212.5,7185.46,7211.02,391.352377,5470,1
25,2020-01-02 01:00:00+00:00,7211.04,7211.16,7185.11,7190.99,402.660139,5929,1
26,2020-01-02 02:00:00+00:00,7190.99,7191.0,7155.35,7169.02,1387.377886,14716,1
27,2020-01-02 03:00:00+00:00,7169.04,7169.06,7120.37,7129.61,1557.96443,15206,1
28,2020-01-02 04:00:00+00:00,7129.25,7161.0,7116.7,7142.21,1252.447877,12565,1
29,2020-01-02 05:00:00+00:00,7142.61,7152.05,7126.93,7138.93,569.50899,6580,1
30,2020-01-02 06:00:00+00:00,7138.93,7149.02,7121.43,7135.97,687.600665,7669,1
31,2020-01-02 07:00:00+00:00,7136.04,7140.63,7105.0,7110.57,1548.403823,13939,1
32,2020-01-02 08:00:00+00:00,7110.98,7157.48,7109.11,7154.36,1114.825128,11622,1
33,2020-01-02 09:00:00+00:00,7153.57,7165.0,7135.36,7162.01,840.001328,8198,1
34,2020-01-02 10:00:00+00:00,7162.18,7180.0,7153.33,7161.83,1446.219984,13126,1
35,2020-01-02 11:00:00+00:00,7161.89,7168.67,7139.03,7139.79,761.15657,8556,1
36,2020-01-02 12:00:00+00:00,7139.73,7163.4,7139.03,7158.29,794.030497,8754,1
37,2020-01-02 13:00:00+00:00,7158.86,7163.35,7107.43,7131.15,1566.280693,13621,1
38,2020-01-02 14:00:00+00:00,7131.18,7157.1,7122.34,7135.59,956.300925,10776,1
39,2020-01-02 15:00:00+00:00,7135.59,7152.0,7120.0,7130.98,862.429718,8782,1
40,2020-01-02 16:00:00+00:00,7130.37,7146.85,7020.0,7052.32,3604.474152,27013,1
41,2020-01-02 17:00:00+00:00,7052.32,7053.09,6924.74,6970.04,6183.82554,45957,1
42,2020-01-02 18:00:00+00:00,6970.04,6989.68,6949.96,6974.02,1513.597939,13965,1
43,2020-01-02 19:00:00+00:00,6974.02,6995.0,6960.0,6983.27,1397.130602,14642,1
44,2020-01-02 20:00:00+00:00,6982.63,6983.22,6941.27,6948.49,1138.646334,10215,1
45,2020-01-02 21:00:00+00:00,6948.16,6985.0,6946.2,6977.73,665.856715,8036,1
46,2020-01-02 22:00:00+00:00,6977.55,6978.24,6963.02,6974.8,568.324029,8665,1
47,2020-01-02 23:00:00+00:00,6974.8,6974.8,6950.0,6965.71,741.067591,8665,1
48,2020-01-03 00:00:00+00:00,6965.49,6966.47,6912.88,6937.0,1106.732043,11910,1
49,2020-01-03 01:00:00+00:00,6937.0,6946.07,6878.19,6888.85,2402.581684,19122,1
50,2020-01-03 02:00:00+00:00,6888.26,6966.8,6871.04,6956.88,2869.993553,22447,1
51,2020-01-03 03:00:00+00:00,6957.66,6966.36,6940.0,6952.04,1246.589508,10323,1
52,2020-01-03 04:00:00+00:00,6952.04,7264.71,6948.64,7210.19,8849.166329,54827,1
53,2020-01-03 05:00:00+00:00,7210.2,7249.0,7168.48,7220.47,3575.770965,23043,1
54,2020-01-03 06:00:00+00:00,7220.49,7225.0,7190.14,7202.22,2075.25916,15059,1
55,2020-01-03 07:00:00+00:00,7202.06,7232.0,7185.04,7203.21,2185.376884,15969,1
56,2020-01-03 08:00:00+00:00,7202.28,7297.29,7202.28,7260.6,3976.534509,28749,1
57,2020-01-03 09:00:00+00:00,7260.64,7358.88,7256.56,7348.42,5469.030632,43411,1
